,math,h,gender,school,age,Exp,spat
269,1,0.75,0,1,7,Exp1,NA
270,1,0.75,0,4,9,Exp1,NA
271,1,0.75,0,6,9,Exp1,NA
272,1,0.76,0,2,9,Exp1,NA
273,1,0.76,0,3,8,Exp1,NA
274,1,0.78,0,3,8,Exp1,NA
275,1,0.78,0,4,9,Exp1,NA
276,1,0.79,0,1,9,Exp1,NA
277,1,0.79,0,3,10,Exp1,NA
278,1,0.8,0,2,8,Exp1,NA
279,1,0.8,0,2,9,Exp1,NA
280,1,0.8,0,3,8,Exp1,NA
281,1,0.88,0,3,9,Exp1,NA
282,1,0.88,0,4,9,Exp1,NA
283,1,0.88,0,5,9,Exp1,NA
284,1,0.88,0,2,7,Exp1,NA
285,1,0.89,0,6,7,Exp1,NA
286,1,0.89,0,1,9,Exp1,NA
287,1,0.89,0,6,8,Exp1,NA
288,1,0.9,0,3,8,Exp1,NA
289,1,1,0,1,8,Exp1,NA
290,1,1,0,1,9,Exp1,NA
291,1,1,0,1,8,Exp1,NA
292,1,1,0,1,9,Exp1,NA
293,1,1,0,2,8,Exp1,NA
294,1,1,0,2,8,Exp1,NA
295,1,1,0,3,8,Exp1,NA
296,1,1,0,3,9,Exp1,NA
297,1,1,0,3,8,Exp1,NA
298,1,1,0,3,8,Exp1,NA
299,1,1,0,3,8,Exp1,NA
300,1,1,0,3,8,Exp1,NA
301,1,1,0,4,8,Exp1,NA
302,1,1,0,4,7,Exp1,NA
303,1,1,0,4,7,Exp1,NA
304,1,1,0,4,9,Exp1,NA
305,1,1,0,4,9,Exp1,NA
306,1,1,0,4,8,Exp1,NA
307,1,1,0,5,9,Exp1,NA
308,1,1,0,6,8,Exp1,NA
309,1,1,0,6,8,Exp1,NA
310,2,-1,0,2,9,Exp1,NA
311,2,-0.56,0,4,9,Exp1,NA
312,2,-0.4,0,5,9,Exp1,NA
313,2,-0.33,0,1,9,Exp1,NA
314,2,-0.07,0,3,9,Exp1,NA
315,2,-0.05,0,6,9,Exp1,NA
316,2,0.18,0,4,8,Exp1,NA
317,2,0.25,0,4,9,Exp1,NA
318,2,0.3,0,2,8,Exp1,NA
319,2,0.3,0,2,8,Exp1,NA
320,2,0.3,0,2,8,Exp1,NA
321,2,0.33,0,3,9,Exp1,NA
322,2,0.4,0,2,9,Exp1,NA
323,2,0.4,0,3,8,Exp1,NA
324,2,0.41,0,3,8,Exp1,NA
325,2,0.44,0,2,8,Exp1,NA
326,2,0.44,0,3,8,Exp1,NA
327,2,0.47,0,2,8,Exp1,NA
328,2,0.47,0,2,8,Exp1,NA
329,2,0.5,0,3,8,Exp1,NA
330,2,0.5,0,4,9,Exp1,NA
331,2,0.5,0,6,8,Exp1,NA
332,2,0.53,0,2,9,Exp1,NA
333,2,0.56,0,3,9,Exp1,NA
334,2,0.56,0,3,9,Exp1,NA
335,2,0.56,0,4,8,Exp1,NA
336,2,0.6,0,1,9,Exp1,NA
337,2,0.6,0,2,8,Exp1,NA
338,2,0.6,0,3,9,Exp1,NA
339,2,0.65,0,1,9,Exp1,NA
340,2,0.65,0,5,9,Exp1,NA
341,2,0.68,0,4,9,Exp1,NA
342,2,0.68,0,6,8,Exp1,NA
343,2,0.7,0,6,9,Exp1,NA
344,2,0.76,0,2,8,Exp1,NA
345,2,0.76,0,4,9,Exp1,NA
346,2,0.78,0,2,8,Exp1,NA
347,2,0.79,0,2,8,Exp1,NA
348,2,0.79,0,3,8,Exp1,NA
349,2,0.8,0,2,9,Exp1,NA
350,2,0.87,0,1,9,Exp1,NA
351,2,0.88,0,4,9,Exp1,NA
352,2,0.88,0,6,9,Exp1,NA
353,2,0.89,0,1,9,Exp1,NA
354,2,0.89,0,2,9,Exp1,NA
355,2,0.89,0,3,9,Exp1,NA
356,2,0.89,0,3,9,Exp1,NA
357,2,0.9,0,2,8,Exp1,NA
358,2,1,0,2,8,Exp1,NA
359,2,1,0,2,8,Exp1,NA
360,2,1,0,2,7,Exp1,NA
361,2,1,0,2,7,Exp1,NA
362,2,1,0,2,7,Exp1,NA
363,2,1,0,3,9,Exp1,NA
364,2,1,0,4,8,Exp1,NA
365,2,1,0,4,8,Exp1,NA
366,2,1,0,4,8,Exp1,NA
367,2,1,0,5,8,Exp1,NA
368,2,1,0,6,8,Exp1,NA
369,2,1,0,6,9,Exp1,NA
370,2,1,0,6,8,Exp1,NA
371,2,1,0,6,9,Exp1,NA
372,2,1,0,6,9,Exp1,NA
373,3,-0.76,0,3,9,Exp1,NA
374,3,-0.56,0,3,8,Exp1,NA
375,3,-0.4,0,3,8,Exp1,NA
376,3,-0.2,0,1,8,Exp1,NA
377,3,0.16,0,6,9,Exp1,NA
378,3,0.22,0,4,9,Exp1,NA
379,3,0.22,0,6,9,Exp1,NA
380,3,0.25,0,1,9,Exp1,NA
381,3,0.29,0,4,9,Exp1,NA
382,3,0.33,0,3,9,Exp1,NA
383,3,0.33,0,6,8,Exp1,NA
384,3,0.4,0,3,9,Exp1,NA
385,3,0.5,0,1,8,Exp1,NA
386,3,0.58,0,6,9,Exp1,NA
387,3,0.6,0,3,8,Exp1,NA
388,3,0.6,0,4,8,Exp1,NA
389,3,0.6,0,6,9,Exp1,NA
390,3,0.6,0,6,9,Exp1,NA
391,3,0.65,0,1,9,Exp1,NA
392,3,0.7,0,6,8,Exp1,NA
393,3,0.73,0,2,8,Exp1,NA
394,3,0.75,0,4,8,Exp1,NA
395,3,0.76,0,2,8,Exp1,NA
396,3,0.78,0,4,9,Exp1,NA
397,3,0.78,0,6,8,Exp1,NA
398,3,0.8,0,4,8,Exp1,NA
399,3,0.8,0,4,8,Exp1,NA
400,3,0.88,0,3,9,Exp1,NA
401,3,0.88,0,6,8,Exp1,NA
402,3,1,0,1,8,Exp1,NA
403,3,1,0,2,9,Exp1,NA
404,3,1,0,6,8,Exp1,NA
405,4,-0.7,0,2,9,Exp1,NA
406,4,-0.58,0,2,8,Exp1,NA
407,4,-0.47,0,2,9,Exp1,NA
408,4,0.5,0,2,7,Exp1,NA
409,4,0.65,0,6,9,Exp1,NA
410,4,0.78,0,5,9,Exp1,NA
411,4,1,0,1,9,Exp1,NA
412,4,1,0,6,9,Exp1,NA
413,5,0.58,0,6,9,Exp1,NA
414,0,-1,1,1,8,Exp2,NA
415,0,1,1,1,8,Exp2,NA
416,0,1,1,1,8,Exp2,NA
417,0,1,1,1,8,Exp2,NA
418,0,0.8,0,1,8,Exp2,NA
419,0,1,0,1,8,Exp2,NA
420,0,1,1,3,9,Exp2,NA
421,0,0.8,1,3,8,Exp2,NA
422,0,1,1,3,8,Exp2,NA
423,0,-1,1,3,8,Exp2,NA
424,0,0.2,0,3,7,Exp2,NA
425,0,1,0,3,8,Exp2,NA
426,0,0.2,1,4,8,Exp2,NA
427,0,-0.7,1,4,8,Exp2,NA
428,0,0.9,1,4,8,Exp2,NA
429,0,0.89,0,4,8,Exp2,NA
430,0,0.9,0,4,8,Exp2,NA
431,0,0.8,0,4,9,Exp2,NA
432,0,1,0,4,8,Exp2,NA
433,0,0.8,0,4,8,Exp2,NA
434,0,0.58,0,4,8,Exp2,NA
435,0,0.5,0,4,8,Exp2,NA
436,0,-0.79,0,4,8,Exp2,NA
437,0,0.79,0,7,8,Exp2,NA
438,0,1,0,7,8,Exp2,NA
439,0,1,1,11,9,Exp2,NA
440,0,0.3,1,11,8,Exp2,NA
441,0,1,1,11,8,Exp2,NA
442,0,0.79,0,11,8,Exp2,NA
443,0,0.8,0,11,8,Exp2,NA
444,0,0.56,0,11,9,Exp2,NA
445,0,0.68,1,12,8,Exp2,NA
446,0,1,1,12,8,Exp2,NA
447,0,1,1,12,8,Exp2,NA
448,0,0.65,0,12,8,Exp2,NA
449,0,0.9,0,12,8,Exp2,NA
450,0,-0.9,0,12,8,Exp2,NA
451,0,0.9,0,12,8,Exp2,NA
452,0,0.8,0,12,9,Exp2,NA
453,0,0.7,0,12,9,Exp2,NA
454,0,1,0,12,8,Exp2,NA
455,0,1,1,13,9,Exp2,NA
456,0,0.6,1,13,10,Exp2,NA
457,0,1,0,13,9,Exp2,NA
458,0,0.6,0,13,9,Exp2,NA
459,0,1,0,13,9,Exp2,NA
460,0,0,0,13,9,Exp2,NA
461,0,0.38,0,13,9,Exp2,NA
462,0,1,1,14,8,Exp2,NA
463,0,-1,1,14,8,Exp2,NA
464,0,0.9,1,14,8,Exp2,NA
465,0,1,1,14,9,Exp2,NA
466,0,1,1,14,9,Exp2,NA
467,0,0.76,1,14,9,Exp2,NA
468,0,1,1,14,9,Exp2,NA
469,0,-0.7,0,14,9,Exp2,NA
470,0,1,0,14,8,Exp2,NA
471,0,1,0,14,9,Exp2,NA
472,0,0.7,0,14,8,Exp2,NA
473,0,0.8,0,14,9,Exp2,NA
474,0,1,0,14,8,Exp2,NA
475,0,-0.5,0,14,9,Exp2,NA
476,0,0.37,0,14,10,Exp2,NA
477,0,1,0,14,9,Exp2,NA
478,1,1,1,1,8,Exp2,NA
479,1,1,1,1,8,Exp2,NA
480,1,1,0,1,8,Exp2,NA
481,1,0.9,0,1,8,Exp2,NA
482,1,1,0,1,8,Exp2,NA
483,1,1,0,1,8,Exp2,NA
484,1,1,0,1,8,Exp2,NA
485,1,1,0,1,8,Exp2,NA
486,1,1,1,3,8,Exp2,NA
487,1,-1,1,3,8,Exp2,NA
488,1,0.5,1,3,8,Exp2,NA
489,1,1,1,3,8,Exp2,NA
490,1,1,1,3,8,Exp2,NA
491,1,1,0,3,8,Exp2,NA
492,1,0.65,0,3,7,Exp2,NA
493,1,1,0,3,8,Exp2,NA
494,1,0.79,1,4,8,Exp2,NA
495,1,0.7,1,4,9,Exp2,NA
496,1,0.9,1,4,8,Exp2,NA
497,1,1,1,4,8,Exp2,NA
498,1,1,1,4,8,Exp2,NA
499,1,-0.9,1,4,9,Exp2,NA
500,1,0.8,0,4,8,Exp2,NA
501,1,0.9,0,4,8,Exp2,NA
502,1,-1,0,4,8,Exp2,NA
503,1,1,0,4,8,Exp2,NA
504,1,0.33,0,4,9,Exp2,NA
505,1,-0.1,0,4,8,Exp2,NA
506,1,0.7,0,4,8,Exp2,NA
507,1,0.56,1,7,8,Exp2,NA
508,1,-1,1,7,8,Exp2,NA
